1;2165.00;9.50;827.00;big
1;1978.00;9.50;843.00;big
2;1186.00;11.90;1229.00;big
2;1010.00;12.50;1130.00;big
3;893.00;11.68;1026.00;big
3;1189.00;11.70;1002.00;big
4;2125.00;10.25;881.00;big
4;2163.00;11.50;771.00;big
5;1815.00;10.25;898.00;big
5;1907.00;10.60;907.00;big
6;2341.00;12.45;607.00;big
6;2072.00;11.07;620.00;big
7;1861.00;10.70;629.00;big
7;1766.00;10.57;731.00;big
8;1559.00;12.20;771.00;big
8;1394.00;13.07;860.00;big
9;1514.00;11.03;289.00;big
9;1567.00;12.20;529.00;big
10;1997.00;11.40;328.00;big
10;1843.00;11.62;397.00;big
11;1251.00;11.18;448.00;big
11;1273.00;13.25;632.00;big
12;1224.00;12.80;172.00;big
12;1238.00;13.35;290.00;big
13;1920.00;11.45;51.00;big
13;2086.00;10.45;82.00;big
14;1457.00;10.65;1691.00;big
14;1440.00;11.10;1462.00;big
15;2549.00;10.40;338.00;big
15;2756.00;11.65;423.00;big
16;3124.00;11.15;222.00;big
16;2823.00;11.90;191.00;big
17;3202.00;13.00;513.00;big
17;2978.00;10.10;538.00;big
18;3524.00;10.60;752.00;big
18;3300.00;10.15;755.00;big
19;2073.00;11.80;1480.00;big
19;1912.00;10.12;1423.00;big
20;2783.00;15.45;1094.00;big
20;2576.00;11.50;1056.00;big
21;3057.00;12.00;933.00;big
21;3340.00;10.38;986.00;big
22;2284.00;12.03;1596.00;big
22;2302.00;11.32;1840.00;big
23;2741.00;10.78;1729.00;big
23;2504.00;11.62;1713.00;big
24;2751.00;12.07;1411.00;big
24;3033.00;14.35;1634.00;big
25;688.00;12.00;1790.00;big
25;979.00;13.73;1905.00;big
26;3956.00;12.53;1501.00;big
26;3676.00;11.62;1545.00;big
27;2036.00;9.50;1265.00;big
27;1843.00;10.78;1274.00;big
28;1682.00;9.50;663.00;big
28;2158.00;10.18;373.00;big
29;1705.00;10.23;1203.00;big
29;1546.00;10.12;1194.00;big
30;1350.00;10.30;1121.00;big
30;1368.00;9.50;1274.00;big
31;1666.00;9.50;1352.00;big
31;1749.00;10.65;1498.00;big
32;4310.00;12.15;1003.00;big
32;4776.00;12.50;839.00;big
33;4090.00;11.60;1262.00;big
33;3878.00;12.07;1211.00;big
34;3860.00;12.10;982.00;big
34;4070.00;11.60;831.00;big
35;3953.00;11.55;537.00;big
35;4132.00;11.75;292.00;big
36;4747.00;10.50;553.00;big
36;4372.00;10.95;523.00;big
37;5144.00;10.45;823.00;big
37;4976.00;10.28;581.00;big
38;5218.00;12.32;1108.00;big
38;5267.00;10.25;1397.00;big
39;4975.00;12.55;1307.00;big
39;4699.00;12.95;1332.00;big
40;4583.00;11.70;1445.00;big
40;4984.00;12.53;1586.00;big
41;5109.00;9.95;936.00;big
41;5130.00;10.10;960.00;big
42;4525.00;10.15;1015.00;big
42;4830.00;10.10;1185.00;big
43;4446.00;10.60;1205.00;big
43;4383.00;10.10;1238.00;big
44;4594.00;11.80;1095.00;big
44;4753.00;12.57;1098.00;big
45;4580.00;11.53;201.00;big
45;4746.00;11.65;268.00;big
46;3665.00;10.30;1008.00;big
46;3619.00;10.70;927.00;big
47;3593.00;9.50;651.00;big
47;3727.00;9.50;755.00;big
48;3737.00;10.20;594.00;big
48;3779.00;13.10;284.00;big
49;3380.00;11.53;380.00;big
49;3498.00;11.03;464.00;big
50;3427.00;10.60;253.00;big
50;3544.00;10.35;227.00;big
51;3044.00;9.50;30.00;big
51;3240.00;9.50;64.00;big
52;3496.00;9.50;27.00;big
52;3693.00;9.50;82.00;big
53;2670.00;9.50;26.00;big
53;2768.00;9.50;16.00;big
54;3779.00;10.60;84.00;big
54;3884.00;10.32;57.00;big
55;4118.00;10.40;80.00;big
55;4183.00;10.20;109.00;big
56;4367.00;10.18;81.00;big
56;4427.00;10.28;88.00;big
57;4419.00;9.50;209.00;big
57;4333.00;9.50;237.00;big
58;4742.00;9.50;392.00;big
58;4531.00;9.50;363.00;big
59;2292.00;9.50;334.00;big
59;2504.00;9.50;304.00;big
60;2536.00;9.50;92.00;big
60;2356.00;9.50;115.00;big
61;1952.00;9.50;138.00;big
61;2135.00;9.50;214.00;big
62;2218.00;9.50;19.00;big
62;1860.00;10.28;29.00;big
63;1742.00;9.50;116.00;big
63;1548.00;9.50;71.00;big
64;1313.00;9.50;111.00;big
64;1108.00;9.50;33.00;big
65;2693.00;10.28;584.00;big
65;2606.00;10.30;589.00;big
66;2885.00;9.50;718.00;big
66;2807.00;10.65;809.00;big
67;2511.00;9.50;845.00;big
67;2304.00;9.50;834.00;big
68;2435.00;9.50;1023.00;big
68;2446.00;9.50;1163.00;big
69;2709.00;9.50;1239.00;big
69;2551.00;9.50;1331.00;big
70;2461.00;10.40;1383.00;big
70;2302.00;9.50;1368.00;big
71;2562.00;9.50;1545.00;big
71;2446.00;9.50;1555.00;big
72;2127.00;9.50;1551.00;big
72;2211.00;9.50;1555.00;big
73;1909.00;9.50;1637.00;big
73;1754.00;9.50;1608.00;big
74;2318.00;9.50;1984.00;big
74;2406.00;9.50;1961.00;big
75;1942.00;9.50;1760.00;big
75;2112.00;9.50;1775.00;big
76;2106.00;9.50;2018.00;big
76;1955.00;10.45;1892.00;big
77;1713.00;10.40;1853.00;big
77;1817.00;9.50;1965.00;big
78;2573.00;9.50;2009.00;big
78;2781.00;9.50;1981.00;big
79;3102.00;9.50;1870.00;big
79;2960.00;9.50;1924.00;big
80;3020.00;11.50;1378.00;big
80;3025.00;10.80;1254.00;big
81;4009.00;9.50;1355.00;big
81;3799.00;9.50;1323.00;big
82;3438.00;9.50;1475.00;big
82;3266.00;9.50;1516.00;big
83;3444.00;10.18;1154.00;big
